Shape,b_1(mm),d_1(mm),d_avg(mm),rho_avg(%),$b^* [mm]$,$b^*/d_{avg}$,f_c(MPa),f_y(MPa),V_u(kN),b_o (mm),$f_y * rho_{avg} [MPa]$,lamda,lamdas,beta,$ACI_a [psi]$,$ACI_b [psi]$,$ACI_c [psi]$,$ACI_{min} [psi]$,$ACI_{min} [MPa]$,ACI_$V_c [kN]$
S,150,150,200,0.017453293,150,0.75,86.48325,550,1300,1400,9.59931115,1,1,1,447.9885287,671.982793,863.9778767,447.9885287,3.088773388,864.855895
C,250,250,246,0.011858509,196.3495408,0.798168865,31.16,500,1356,1171.81406,5.9292545,0.85,1,1,228.5696392,342.8544588,594.1231589,228.5696392,1.575932806,454.2879105
S,200,200,300,0.007575758,200,0.666666667,37.43,468,1381,2000,3.545454744,1,1,1,294.7208127,442.0812191,589.4416254,294.7208127,2.032029271,1219.216641
S,150,150,200,0.017453293,150,0.75,118.7025,550,1400,1400,9.59931115,1,1,1,524.8447114,787.2670672,1012.200515,524.8447114,3.618678323,1013.229165
S,150,150,200,0.026179939,150,0.75,89.27625,550,1450,1400,14.39896645,1,1,1,455.165003,682.7475045,877.8182201,455.165003,3.138253456,878.7103037
S,150,150,200,0.026179939,150,0.75,97.755,550,1450,1400,14.39896645,1,1,1,476.2888147,714.4332221,918.5569998,476.2888147,3.283897068,919.4904842
S,150,150,200,0.026179939,150,0.75,107.82975,550,1550,1400,14.39896645,1,1,1,500.2305273,750.345791,964.7303027,500.2305273,3.448969431,965.7107108
S,300,300,473,0.006006482,300,0.634249471,13.05,270,1659,3092,1.62175014,0.75,1,1,130.5170989,195.7756483,264.9176302,130.5170989,0.899884073,1316.09386
C,500,500,240,0.013089969,392.6990817,1.636246174,26.175,544,1662,1947.787445,7.120943136,0.85,1,1,209.4899357,314.2349035,362.8716166,209.4899357,1.444382829,675.2036674
S,200,200,275,0.014874965,200,0.727272727,64.13925,550,2050,1900,8.18123075,1,1,1,385.80054,578.70081,751.2957884,385.80054,2.660002131,1389.850063
S,520,520,456,0.003266113,520,1.140350877,32.4,520,2153,3904,1.69837876,0.85,1,1,233.0731917,349.6097875,388.7737254,233.0731917,1.606983719,2860.788822
S,300,300,400,0.007575758,300,0.75,37.43,433,2224,2800,3.280303214,1,1,1,294.7208127,442.0812191,568.3901388,294.7208127,2.032029271,2275.871063
S,200,200,275,0.014874965,200,0.727272727,83.49075,550,2250,1900,8.18123075,1,1,1,440.1696291,660.2544436,857.1724356,440.1696291,3.034863952,1585.715217
S,200,200,275,0.02549994,200,0.727272727,89.67525,550,2400,1900,14.024967,1,1,1,456.1809976,684.2714964,888.352469,456.1809976,3.145258495,1643.396322
S,200,200,275,0.014874965,200,0.727272727,111.72,550,2450,1900,8.18123075,1,1,1,509.1741605,763.7612408,991.549681,509.1741605,3.510633635,1834.304688
S,300,300,500,0.007575758,300,0.6,37.43,433,2681,3200,3.280303214,1,1,1,294.7208127,442.0812191,607.8616762,294.7208127,2.032029271,3251.244376
C,800,800,668.5,0.005661232,628.3185307,0.93989309,28.65,622,4915,3563.351467,3.521286304,0.85,1,1,219.1705167,328.755775,520.7585364,219.1705167,1.511128111,3599.656243
